GVIL_CODE,VILLAGE_NM,DIST_NAME,DISTRICT_CODE,PS_NAME,BLOCK_CODE,GP_NAME,GP_CODE
32179,desooriya vishnoiya,jodhpur,,mandor,,gharab,
32177,lavera,ajmer,,srinagar,,beer,
17654,mukandsar,jodhpur,,balesar,,nimbon ka gaon,
32093,hanumatpur,sawai madhopur,108,bonli,810802,datooli,810802120
17624,harbha,jaisalmer,,sam,,kapuriya,
32157,ganwar,tonk,120,malpura,812002,malikpur,812002240
32201,kanwaliya khurd,pali,,jaitaran,,kanwaliya kalan,
32071,ramgarh murara,sawai madhopur,,bamanwas,,phulwara,
17652,nathasar,jodhpur,113,shergarh,811315,tena,811315330
32192,surpura,jodhpur,,mandor,,gharab,
6415,bhampura,dhaulpur,,baseri,,jhiri,
17650,jeevrajgarh,jaisalmer,,sankra,,bhurajgarh,
32138,loharwara,tonk,,tonk,,bagarwa,
32132,hingotiya,tonk,,niwai,,vanasthali,
17646,hanumanpura,jaisalmer,,sankra,,bandhewa,
32215,khojanagar,pali,,jaitaran,,digarna,
32162,deshmi,tonk,,malpura,,diggi,
17655,tena,jodhpur,,shergarh,,khirjan khas,
32124,gopalpura,tonk,,niwai,,lalwari,
17667,palri panwara,jodhpur,,mandor,,manaklao,
17641,kanasar golai,barmer,115,sheo,811515,undoo,811515270
32115,medharkalan,sawai madhopur,108,bonli,810802,moran,810802320
32142,bhatariya,tonk,,niwai,,vanasthali,
32047,lauhra,karauli,107,karauli,810702,atewa,810702010
32129,jaisinghpura,tonk,,niwai,,chainpura,
32180,morla,tonk,120,malpura,812002,kurad,812002210
32078,ramsar,sawai madhopur,,gangapur,,bucholai,
32221,kharadi,pali,,jaitaran,,falka,
17662,bhangarh,jodhpur,,balesar,,belwa,
32121,khajpura,tonk,,niwai,,teetoli @ bara gaon,
32222,khudecha,jodhpur,,bilara,,sindhipura,
32223,odawas,pali,,jaitaran,,lambiya,
32216,jajiwal dhandhala,jodhpur,113,mandor,811310,jajiwal kalan,811310140
32151,fyawari,tonk,,niwai,,dangarthal,
17663,khari beri,jodhpur,,balesar,,balesar satan,
17660,siyanda,jodhpur,113,balesar,811301,kui inda,811301230
31995,mar ka kua,karauli,,sapotra,,ond,
32220,jajiwal brahmana,jodhpur,113,mandor,811310,jajiwal kalan,811310140
17632,harwa,barmer,,sheo,,rajral,
32199,mandiyawad khurd,tonk,120,malpura,812002,antoli,812002010
32213,modi,ajmer,119,srinagar,811909,kana kheri,811909200
32200,balapura,ajmer,119,arain,811901,sandoliya,811901200
17657,ramnagar,jodhpur,,shergarh,,bhoongra,
32054,khohri,karauli,107,karauli,810702,atewa,810702010
32068,gangurda,karauli,107,sapotra,810705,kachroda,810705240
32161,abbasnagar chak no.-1,tonk,,tonk,,banwara,
32147,kerod,tonk,,niwai,,chainpura,
32143,jhilai,tonk,,niwai,,lalwari,
32195,kacholiya,tonk,120,malpura,812002,barol,812002030
32128,borkhera,sawai madhopur,108,bonli,810802,moran,810802320
32098,barh kotri,sawai madhopur,,gangapur,,talawara,
32146,gangapura,tonk,,niwai,,lalwari,
32231,gurha hemadai,pali,,jaitaran,,kurki,
32174,haripura,tonk,,tonk,,chogai,
32211,mandiyawad kalan,ajmer,119,arain,811901,sandoliya,811901200
32100,kotri,sawai madhopur,,gangapur,,talawara,
32228,daurai (rural),ajmer,,peesangan,,,
32085,khirkhiri,karauli,107,sapotra,810705,bhartoon,810705090
32122,pura panesingh,sawai madhopur,108,bonli,810802,datooli,810802120
32123,pura gulabsingh,sawai madhopur,108,bonli,810802,datooli,810802120
32095,barh ramsar,sawai madhopur,,gangapur,,bucholai,
32117,tond,dausa,,lalsot,,bilona khurd,
32238,katmor,pali,,jaitaran,,kekindara,
32230,jodhpur (m cl),jodhpur,,mandor,,gharab,
32181,sondi phal,tonk,,tonk,,chogai,
32152,deopura,tonk,,niwai,,lalwari,
32086,shekhpura,karauli,107,sapotra,810705,kachroda,810705240
32144,googdod,sawai madhopur,108,bonli,810802,moran,810802320
17658,netasar,jaisalmer,,sankra,,bhurajgarh,
32241,rawniyana,jodhpur,,bilara,,madliya,
17672,konari,jodhpur,,balesar,,nimbon ka gaon,
32169,tilokpura,tonk,,niwai,,palei,
32234,bargaon,ajmer,,peesangan,,,
32163,roopbas,tonk,,niwai,,chainpura,
6964,durgasi,dhaulpur,,baseri,,jhiri,
32226,ankauriya,ajmer,119,arain,811901,lamba,811901170
32178,chikana,tonk,,niwai,,dangarthal,
17639,neemba,jaisalmer,,sam,,reewari,
32251,rampura,pali,,jaitaran,,bhoombaliya,
32185,barhbhantriya,tonk,,niwai,,vanasthali,
32048,paseliya,karauli,,sapotra,,watda,
32114,kholai,sawai madhopur,,gangapur,,talawara,
32112,milakpur,sawai madhopur,,gangapur,,talawara,
32235,mandawariya,ajmer,119,arain,811901,lamba,811901170
17675,ajeet nagar,jodhpur,113,balesar,811301,bawarli,811301050
32248,jajiwal kakrala,jodhpur,113,mandor,811310,jajiwal kalan,811310140
17678,sirodi,jodhpur,,mandor,,popawas,
32232,moondoti,ajmer,119,arain,811901,sandoliya,811901200
32225,beed ganwar,tonk,120,malpura,812002,barol,812002030
32256,ransi gaon,jodhpur,,bilara,,madliya,
32255,khariya anawas,jodhpur,,bilara,,nanan,
32257,anandpur kalu with chak,pali,,jaitaran,,falka,
32188,jhujharpura,tonk,,niwai,,palei,
32061,rajpur,karauli,,sapotra,,watda,
17665,rawatpura,jaisalmer,,sankra,,swamiji ki dhani,
32207,abbasnagar chak no.2,tonk,,tonk,,banwara,
32189,damodarpura,tonk,,niwai,,palei,
32246,kadampura,ajmer,119,srinagar,811909,kanpura,811909210
32136,batoda,sawai madhopur,,bamanwas,,phulwara,
32263,amarpura,pali,,jaitaran,,lambiya,
32062,dhoreta,karauli,,sapotra,,ond,
32196,khandewat,tonk,,niwai,,vanasthali,
32175,bharthala,tonk,,niwai,,teetoli @ bara gaon,
32264,nad,ajmer,,peesangan,,peesangan,
6416,shankarpur,dhaulpur,,baseri,,jhiri,
32076,pasela,karauli,,sapotra,,watda,
17681,bhagtasani,jodhpur,,mandor,,beroo,
32165,pattya,sawai madhopur,108,bonli,810802,kushalpura,810802250
17676,timbari,jodhpur,,shergarh,,khirjan tibna,
32176,jatlao,sawai madhopur,108,bonli,810802,moran,810802320
32267,hinganiya,jodhpur,,mandor,,salwa kalan,
32275,sinla,pali,,jaitaran,,digarna,
32173,kuwagaon,sawai madhopur,108,bonli,810802,moran,810802320
2,saradhana,ajmer,,peesangan,,doomara,
32158,bariyara,sawai madhopur,108,bamanwas,810801,sancholi,810801310
17677,shergarh,jodhpur,113,shergarh,811315,tena,811315330
32205,niwai urban,tonk,,niwai,,chainpura,
32172,jhanoon,sawai madhopur,108,bonli,810802,jhanoon,810802190
32210,chorpura,tonk,,niwai,,palei,
32096,mandi bhat,karauli,107,karauli,810702,saseri,810702410
32092,shyampur,karauli,,sapotra,,langra,
32237,dholi,tonk,120,malpura,812002,soda,812002340
32284,deonagar,pali,,jaitaran,,digarna,
32271,khajpura,ajmer,,peesangan,,,
17666,dhanani meghwalon ki dhani,barmer,115,sheo,811515,undoo,811515270
32283,hanwantpura,ajmer,,peesangan,,peesangan,
3,nathoothala,ajmer,,peesangan,,budhwara,
32278,jatiya,ajmer,,peesangan,,,
32208,gopalpura,tonk,,niwai,,lalwari,
32288,bankaliya,jodhpur,,bhopalgarh,,salwa khurd,
32131,sadpura,karauli,107,sapotra,810705,kachroda,810705240
32250,shyopur,tonk,120,malpura,812002,deshma,812002090
32243,gordhanpura,tonk,,tonk,,chogai,
32294,pipar city,jodhpur,,bilara,,sindhipura,
32266,kuhara,tonk,120,malpura,812002,antoli,812002010
32209,tordi,tonk,,niwai,,teetoli @ bara gaon,
17656,pusar,barmer,,sheo,,rajral,
